,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustSpeed,Humidity9am,Humidity3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
6106,19.9,33.5,0.0,9.2,12.3,39.0,55.0,22.0,1.0,1.0,22.5,32.3,0,0
6107,22.2,36.9,0.0,9.4,12.0,41.0,41.0,18.0,6.0,2.0,25.8,35.8,0,0
6108,16.9,32.8,0.0,12.4,10.7,30.0,33.0,14.0,6.0,3.0,20.4,30.4,0,0
6109,20.0,31.1,0.0,10.4,3.0,30.0,31.0,31.0,7.0,6.0,23.1,29.3,0,0
6110,23.0,38.9,0.0,7.2,8.4,65.0,28.0,20.0,7.0,1.0,25.0,37.5,0,0
6111,18.6,24.5,0.0,15.2,7.9,54.0,46.0,21.0,8.0,1.0,18.6,22.9,0,0
6112,14.1,24.6,0.0,11.0,11.5,46.0,50.0,29.0,1.0,0.0,15.1,22.5,0,0
6113,11.9,26.4,0.0,8.4,12.1,41.0,52.0,28.0,0.0,0.0,16.7,24.9,0,0
6114,13.1,29.6,0.0,8.0,12.0,26.0,42.0,18.0,0.0,0.0,18.7,27.8,0,0
6115,16.5,33.2,0.0,9.4,12.0,46.0,29.0,13.0,0.0,0.0,22.6,31.8,0,0
6116,21.1,33.4,0.0,10.4,11.2,41.0,52.0,29.0,3.0,6.0,22.5,31.3,0,0
6117,21.6,31.1,0.0,10.8,4.8,61.0,49.0,34.0,7.0,7.0,24.2,28.5,0,0
6118,19.5,31.4,0.0,6.8,10.5,46.0,54.0,34.0,1.0,1.0,21.8,30.2,0,0
6119,21.6,32.2,0.0,11.2,5.8,48.0,54.0,35.0,6.0,5.0,23.9,31.2,0,1
6120,18.5,29.6,9.2,7.6,6.0,39.0,86.0,43.0,5.0,6.0,20.0,28.8,1,1
6122,16.0,24.3,0.0,10.4,11.1,39.0,47.0,25.0,1.0,0.0,17.1,23.3,0,0
6123,9.2,24.4,0.0,7.6,10.9,41.0,43.0,34.0,0.0,3.0,16.0,23.2,0,0
6124,12.1,25.8,0.0,6.8,11.8,30.0,58.0,25.0,0.0,0.0,15.9,24.4,0,0
6125,13.9,29.5,0.0,6.4,11.8,28.0,41.0,23.0,0.0,0.0,20.2,27.7,0,0
6126,15.3,32.3,0.0,6.0,11.3,24.0,39.0,16.0,5.0,1.0,21.3,30.8,0,0
6127,17.6,33.9,0.0,8.0,11.6,39.0,29.0,9.0,0.0,1.0,23.8,32.7,0,0
6128,19.1,34.2,0.0,9.0,11.4,28.0,40.0,14.0,1.0,3.0,22.8,32.6,0,0
6129,20.9,34.3,0.0,10.2,7.9,28.0,46.0,19.0,7.0,1.0,21.9,32.8,0,0
6130,21.3,35.9,0.0,9.0,10.8,35.0,35.0,17.0,2.0,1.0,24.8,34.7,0,0
6131,19.2,37.0,0.0,10.2,11.1,43.0,30.0,12.0,1.0,1.0,25.1,35.6,0,0
6132,23.5,36.5,0.0,15.6,7.8,44.0,29.0,14.0,2.0,5.0,25.7,35.6,0,0
6133,21.9,36.4,0.0,11.4,6.6,37.0,31.0,13.0,5.0,4.0,25.2,36.3,0,0
6134,20.8,31.2,0.2,11.4,10.3,33.0,46.0,18.0,3.0,1.0,22.5,30.8,0,0
6135,15.9,31.0,0.0,9.8,11.4,37.0,52.0,23.0,0.0,1.0,20.6,29.8,0,0
6136,16.6,31.6,0.0,7.8,11.1,26.0,40.0,18.0,5.0,6.0,20.6,30.2,0,0
6137,17.3,31.0,0.0,7.0,11.1,33.0,43.0,24.0,3.0,1.0,20.4,29.4,0,0
6139,18.0,30.6,0.0,8.4,11.2,44.0,55.0,36.0,1.0,6.0,20.4,28.8,0,0
6140,19.7,31.8,0.0,8.8,11.2,37.0,67.0,40.0,0.0,6.0,21.9,29.4,0,0
6141,21.0,32.8,0.0,6.8,10.3,31.0,60.0,36.0,2.0,6.0,23.6,30.9,0,0
6142,15.6,24.3,0.2,8.2,11.2,43.0,51.0,30.0,0.0,0.0,16.3,23.6,0,0
6143,9.9,24.6,0.0,7.0,11.2,31.0,40.0,17.0,0.0,0.0,16.9,24.0,0,0
6144,10.7,23.3,0.0,6.2,11.0,43.0,53.0,23.0,0.0,0.0,16.4,22.2,0,0
6145,9.4,25.6,0.0,7.6,11.2,31.0,44.0,26.0,0.0,0.0,13.8,24.6,0,0
6146,13.5,28.4,0.0,5.8,9.0,35.0,57.0,32.0,1.0,3.0,19.9,28.1,0,0
6147,17.1,28.7,0.0,6.6,5.5,43.0,45.0,32.0,7.0,7.0,20.1,26.7,0,1
6148,16.5,20.6,14.4,6.0,0.0,30.0,97.0,76.0,7.0,7.0,16.9,19.9,1,1
6149,16.0,24.4,2.4,0.2,4.7,31.0,94.0,63.0,7.0,5.0,17.6,24.0,1,1
6150,16.8,23.9,5.4,2.4,4.2,20.0,89.0,68.0,7.0,5.0,18.5,22.9,1,0
6151,16.2,23.9,0.0,1.8,4.4,24.0,92.0,71.0,7.0,7.0,18.9,22.1,0,0
6153,14.5,28.4,0.0,2.8,11.1,39.0,56.0,23.0,0.0,1.0,22.0,27.4,0,0
6154,14.9,29.4,0.0,8.0,9.8,33.0,52.0,22.0,5.0,2.0,17.3,28.8,0,0
6155,11.7,23.8,0.0,5.0,11.0,28.0,38.0,27.0,0.0,0.0,17.2,23.5,0,0
6156,11.2,23.8,0.0,5.0,11.0,35.0,50.0,29.0,0.0,0.0,17.9,23.1,0,0
6157,11.4,25.6,0.0,5.0,10.9,26.0,46.0,25.0,0.0,0.0,18.9,24.7,0,0
6158,13.3,24.1,0.0,5.2,11.2,31.0,52.0,23.0,0.0,1.0,18.0,23.5,0,0
6159,11.9,24.0,0.0,6.2,10.9,35.0,52.0,33.0,1.0,1.0,17.2,23.4,0,0
6160,12.3,24.6,0.0,5.0,9.9,31.0,58.0,30.0,4.0,1.0,17.9,23.7,0,0
6161,12.0,25.9,0.0,4.4,11.0,33.0,57.0,28.0,0.0,4.0,17.5,25.3,0,0
6162,16.7,24.6,0.0,7.0,4.3,57.0,51.0,36.0,8.0,6.0,18.5,23.9,0,0
6163,12.7,23.4,0.6,5.0,10.6,46.0,64.0,36.0,1.0,5.0,17.1,21.9,0,0
6164,11.2,18.4,1.0,5.6,9.0,63.0,54.0,37.0,1.0,6.0,13.1,16.5,0,0
6165,5.7,19.7,0.0,4.8,10.3,52.0,58.0,34.0,0.0,1.0,12.6,18.8,0,0
6166,12.4,19.9,1.0,4.2,8.0,35.0,78.0,41.0,7.0,3.0,14.7,18.6,0,0
6167,6.2,17.0,0.0,4.0,9.6,33.0,57.0,34.0,7.0,2.0,11.4,16.4,0,0
6169,6.2,19.3,0.0,3.0,7.8,17.0,49.0,31.0,6.0,6.0,14.0,19.1,0,0
6170,6.6,20.6,0.0,2.4,10.6,28.0,39.0,29.0,0.0,1.0,15.2,19.8,0,0
6171,7.5,22.8,0.0,4.2,10.7,30.0,54.0,22.0,0.0,1.0,14.8,21.9,0,0
6172,8.5,23.3,0.0,4.2,10.7,22.0,55.0,25.0,0.0,1.0,15.6,23.2,0,0
6173,9.7,23.1,0.0,4.8,10.4,22.0,41.0,18.0,1.0,2.0,16.4,22.6,0,0
6174,5.9,23.9,0.0,4.6,10.6,20.0,45.0,25.0,1.0,3.0,16.2,22.5,0,0
6175,7.9,23.5,0.0,4.0,10.4,26.0,45.0,25.0,1.0,1.0,14.8,22.6,0,0
6176,7.5,21.7,0.0,4.0,10.5,24.0,65.0,27.0,0.0,0.0,12.6,21.0,0,0
6177,6.2,22.2,0.0,4.0,10.5,24.0,55.0,27.0,0.0,0.0,12.9,21.5,0,0
6178,7.7,23.2,0.0,3.4,10.4,22.0,45.0,25.0,0.0,0.0,15.2,22.7,0,0
6179,10.4,23.4,0.0,4.2,9.3,30.0,52.0,27.0,0.0,4.0,15.1,23.1,0,0
6180,9.7,23.2,0.0,4.0,8.7,24.0,42.0,29.0,0.0,4.0,16.3,21.6,0,0
6181,9.0,21.2,0.0,3.4,10.2,33.0,45.0,30.0,1.0,4.0,15.6,19.7,0,0
6182,5.4,20.4,0.0,4.6,10.0,31.0,51.0,35.0,0.0,3.0,13.4,19.2,0,0
6183,7.5,21.2,0.0,3.4,10.4,37.0,50.0,32.0,1.0,1.0,15.3,20.2,0,0
6184,8.8,20.6,0.0,4.4,7.6,39.0,56.0,46.0,2.0,6.0,15.5,19.9,0,0
6185,7.8,19.4,0.0,3.6,6.9,31.0,64.0,35.0,7.0,6.0,12.3,18.5,0,0
6187,12.8,14.7,7.6,4.6,0.0,41.0,96.0,91.0,8.0,8.0,13.9,13.7,1,1
6188,12.5,15.6,17.6,0.0,0.0,52.0,96.0,91.0,8.0,8.0,13.1,13.2,1,1
6189,12.7,20.0,7.8,1.4,7.5,52.0,64.0,49.0,7.0,5.0,15.4,19.5,1,0
6190,10.9,20.8,0.2,2.8,10.1,46.0,64.0,49.0,1.0,3.0,14.8,20.4,0,0
6191,12.6,22.9,0.0,4.0,10.2,44.0,68.0,50.0,2.0,4.0,16.8,22.4,0,0
6192,13.2,22.9,0.0,4.0,9.9,44.0,66.0,49.0,2.0,2.0,16.9,22.6,0,0
6193,13.5,21.5,0.0,4.6,6.3,44.0,67.0,50.0,6.0,5.0,15.4,20.8,0,0
6194,13.0,21.3,1.0,3.8,2.8,26.0,87.0,63.0,7.0,7.0,13.9,19.9,0,1
6195,12.6,16.3,3.6,2.2,0.7,20.0,96.0,76.0,8.0,7.0,12.7,16.1,1,0
6196,7.2,15.9,0.0,0.8,9.4,24.0,74.0,44.0,3.0,2.0,10.7,15.6,0,0
6197,2.4,15.6,0.0,2.4,9.3,28.0,82.0,45.0,2.0,4.0,7.8,15.3,0,0
6198,6.8,17.7,0.0,2.2,9.7,37.0,74.0,52.0,0.0,4.0,11.7,16.9,0,0
6199,10.7,15.6,0.0,2.6,0.6,43.0,76.0,63.0,8.0,8.0,11.6,14.8,0,1
6200,11.3,13.0,10.0,1.8,0.0,43.0,95.0,95.0,8.0,8.0,11.4,11.9,1,1
6201,11.1,13.9,12.0,0.0,0.0,30.0,97.0,97.0,8.0,8.0,12.6,13.6,1,1
6203,11.6,18.6,0.2,0.6,8.3,26.0,97.0,40.0,7.0,4.0,12.2,17.5,0,0
6204,6.9,17.6,0.0,2.2,9.3,15.0,86.0,40.0,3.0,3.0,10.9,16.6,0,0
6205,6.9,16.7,0.0,1.6,4.1,28.0,72.0,92.0,5.0,7.0,11.5,11.9,0,1
6206,6.5,14.5,3.4,1.2,3.9,28.0,79.0,70.0,2.0,7.0,10.2,13.8,1,0
6207,8.8,15.8,0.0,1.0,8.3,31.0,78.0,55.0,1.0,8.0,11.5,14.0,0,0
6208,5.5,14.3,0.8,2.8,6.2,46.0,84.0,57.0,1.0,7.0,8.8,12.9,0,0
6210,0.2,12.1,0.0,2.8,9.6,31.0,79.0,46.0,0.0,1.0,5.6,11.6,0,0
6211,1.9,12.8,0.0,1.2,6.8,26.0,73.0,50.0,3.0,7.0,6.9,12.1,0,0
6212,6.1,18.0,0.0,1.4,7.8,35.0,68.0,32.0,6.0,2.0,8.3,16.9,0,0
6213,8.3,19.0,0.2,3.8,8.6,46.0,61.0,26.0,6.0,2.0,10.8,17.7,0,0
6214,4.7,14.9,0.0,3.4,2.7,24.0,68.0,60.0,6.0,7.0,7.9,14.1,0,0
6215,7.9,17.1,0.6,0.6,8.7,20.0,91.0,39.0,5.0,2.0,9.9,16.6,0,0
6216,5.2,17.8,0.0,2.4,8.2,26.0,73.0,42.0,0.0,6.0,10.6,17.6,0,0
6217,6.5,17.5,0.0,2.0,9.7,28.0,78.0,47.0,1.0,2.0,10.2,17.2,0,0
6218,6.7,17.3,0.0,2.2,8.0,22.0,83.0,51.0,2.0,6.0,10.2,17.1,0,0
6219,8.5,18.4,0.0,2.4,7.5,33.0,76.0,42.0,6.0,7.0,12.2,18.4,0,0
6220,11.7,20.1,0.0,2.0,3.1,31.0,78.0,55.0,7.0,6.0,13.6,18.9,0,1
6221,9.5,20.9,2.0,1.8,9.9,22.0,86.0,44.0,1.0,1.0,13.2,20.1,1,0
6222,7.4,22.3,0.2,2.2,9.4,33.0,84.0,32.0,5.0,5.0,12.1,21.8,0,0
6223,6.5,16.7,0.0,3.2,9.8,33.0,48.0,38.0,1.0,1.0,11.3,16.4,0,0
6224,7.2,16.6,0.0,2.6,1.8,19.0,73.0,51.0,7.0,6.0,9.4,15.5,0,0
6225,7.8,12.2,0.2,2.2,0.1,28.0,81.0,95.0,7.0,7.0,9.3,11.6,0,1
6226,9.2,14.6,38.8,0.8,0.8,20.0,96.0,94.0,7.0,7.0,11.0,12.3,1,1
6227,9.5,16.0,6.4,0.6,3.4,26.0,90.0,62.0,7.0,5.0,11.3,15.0,1,0
6229,9.8,20.7,0.0,2.4,3.0,54.0,65.0,43.0,7.0,7.0,14.1,18.9,0,0
6230,8.7,17.0,0.0,4.0,9.6,39.0,52.0,25.0,0.0,0.0,12.6,16.7,0,0
6231,4.3,16.5,0.0,3.4,8.7,41.0,59.0,50.0,1.0,5.0,10.4,14.9,0,0
6232,8.5,14.3,0.0,2.8,5.0,48.0,83.0,49.0,7.0,5.0,10.0,12.6,0,0
6233,7.1,13.5,0.0,2.6,5.7,33.0,85.0,70.0,6.0,7.0,9.9,12.4,0,0
6234,8.3,14.7,0.0,2.4,7.4,24.0,79.0,55.0,7.0,6.0,10.6,14.0,0,0
6235,4.4,12.8,0.0,2.2,6.1,22.0,77.0,50.0,7.0,4.0,7.1,12.4,0,0
6236,1.7,14.6,0.0,1.0,9.8,20.0,85.0,40.0,2.0,1.0,5.7,14.5,0,0
6237,5.3,16.6,0.0,2.0,9.6,31.0,74.0,50.0,3.0,3.0,9.5,16.3,0,0
6238,6.3,17.0,0.0,2.2,10.0,30.0,64.0,42.0,1.0,1.0,9.8,16.9,0,0
6239,5.6,17.6,0.0,2.4,10.0,30.0,78.0,42.0,2.0,2.0,9.1,17.5,0,0
6240,8.4,18.4,0.0,2.8,7.0,33.0,65.0,42.0,4.0,3.0,10.9,17.9,0,0
6241,10.5,19.5,0.2,3.4,2.9,28.0,59.0,56.0,7.0,8.0,12.7,16.8,0,0
6242,7.7,15.6,0.2,1.2,5.5,28.0,95.0,46.0,7.0,7.0,9.8,14.0,0,0
6244,6.3,12.0,5.8,2.0,2.5,22.0,98.0,92.0,8.0,7.0,8.1,9.6,1,1
6246,1.9,13.7,0.0,1.0,7.1,15.0,79.0,55.0,4.0,7.0,7.3,12.9,0,0
6247,3.2,15.3,0.0,0.8,8.9,24.0,80.0,44.0,3.0,5.0,8.7,14.8,0,0
6248,3.7,17.6,0.0,2.2,10.3,24.0,60.0,39.0,1.0,0.0,10.2,17.4,0,0
6250,8.2,22.7,0.0,3.8,9.1,31.0,48.0,38.0,7.0,6.0,12.7,21.8,0,0
6251,12.2,17.4,0.0,4.2,1.7,43.0,61.0,90.0,6.0,8.0,16.5,14.8,0,1
6252,5.1,13.0,2.4,1.6,8.1,33.0,74.0,49.0,1.0,3.0,9.2,12.6,1,0
6253,1.2,15.5,0.0,1.6,10.3,20.0,75.0,38.0,0.0,1.0,8.0,14.8,0,0
6254,3.4,17.1,0.0,1.8,9.5,33.0,66.0,40.0,1.0,2.0,9.8,16.4,0,0
6255,8.9,12.2,0.8,2.4,1.2,24.0,91.0,77.0,8.0,7.0,9.1,11.4,0,1
6256,4.6,11.4,1.8,0.6,1.4,30.0,99.0,74.0,8.0,7.0,6.0,11.1,1,0
6257,3.6,16.6,0.0,0.8,8.2,26.0,80.0,52.0,2.0,6.0,9.3,15.9,0,0
6258,5.3,15.1,0.0,2.2,2.9,24.0,72.0,56.0,1.0,7.0,11.6,14.6,0,0
6259,4.9,15.8,0.0,1.6,5.5,20.0,90.0,55.0,3.0,7.0,10.2,14.2,0,0
6260,9.3,17.2,0.0,1.4,6.2,26.0,71.0,50.0,8.0,5.0,11.4,16.3,0,0
6261,4.7,16.3,0.0,2.6,10.1,20.0,73.0,48.0,0.0,2.0,11.1,15.7,0,0
6262,5.2,17.6,0.0,2.2,10.1,17.0,64.0,41.0,0.0,0.0,12.1,17.4,0,0
6265,5.9,19.9,0.0,5.0,6.3,20.0,64.0,31.0,5.0,2.0,11.4,18.9,0,0
6266,8.0,20.5,0.0,2.4,9.9,26.0,50.0,31.0,5.0,2.0,13.1,20.1,0,0
6267,7.2,19.2,0.0,4.2,10.1,44.0,40.0,30.0,1.0,1.0,15.0,17.2,0,0
6268,2.3,16.2,0.0,4.2,10.8,24.0,48.0,27.0,0.0,1.0,8.3,15.6,0,0
6269,1.7,17.6,0.0,3.2,8.8,19.0,55.0,26.0,7.0,7.0,7.7,16.2,0,0
6270,6.2,21.4,0.0,2.4,9.8,43.0,48.0,16.0,7.0,7.0,10.7,20.1,0,0
6271,8.4,19.1,0.0,5.4,5.8,44.0,55.0,29.0,1.0,1.0,12.8,18.2,0,0
6272,7.5,19.3,0.0,4.0,9.8,37.0,43.0,32.0,1.0,1.0,14.5,18.7,0,0
6273,4.1,19.0,0.0,3.8,7.8,28.0,53.0,38.0,0.0,7.0,14.0,17.0,0,0
6274,6.5,20.3,0.0,2.4,10.7,17.0,46.0,32.0,0.0,1.0,15.5,20.1,0,0
6275,7.4,22.8,0.0,3.6,10.6,35.0,43.0,23.0,0.0,0.0,13.7,22.5,0,0
6276,13.4,28.0,0.0,6.4,2.3,57.0,25.0,22.0,7.0,6.0,17.6,26.5,0,0
6277,7.8,18.2,0.0,6.0,10.8,37.0,47.0,28.0,0.0,1.0,13.1,17.3,0,0
6278,5.2,18.8,0.0,3.4,10.7,26.0,36.0,24.0,0.0,0.0,13.4,18.4,0,0
6279,4.9,21.3,0.0,4.0,9.4,24.0,51.0,21.0,2.0,3.0,12.8,20.2,0,0
6280,10.0,22.8,0.0,3.4,10.0,22.0,37.0,28.0,6.0,1.0,16.6,21.9,0,0
6281,10.5,27.6,0.0,4.0,4.4,61.0,37.0,16.0,6.0,8.0,18.7,25.6,0,0
6282,11.9,19.9,0.4,6.2,2.2,30.0,68.0,56.0,7.0,8.0,14.7,18.0,0,0
6283,14.1,28.9,0.2,2.2,7.0,37.0,69.0,29.0,7.0,5.0,17.2,28.5,0,0
6284,15.4,23.2,0.0,4.2,3.9,57.0,74.0,44.0,7.0,6.0,17.8,21.9,0,0
6285,10.4,17.5,0.0,6.0,9.8,65.0,42.0,32.0,4.0,4.0,12.2,16.0,0,0
6286,6.2,18.8,0.0,4.2,11.0,22.0,51.0,30.0,0.0,0.0,12.0,18.1,0,0
6287,5.2,23.3,0.0,3.4,11.1,31.0,34.0,15.0,0.0,4.0,15.5,22.5,0,0
6288,6.5,23.7,0.0,4.8,5.7,24.0,32.0,19.0,3.0,7.0,16.6,23.0,0,0
6289,15.4,26.7,0.4,5.2,1.4,48.0,40.0,20.0,7.0,7.0,20.7,25.7,0,0
6290,9.3,16.3,0.0,7.8,11.3,54.0,47.0,26.0,1.0,3.0,11.3,14.7,0,0
6291,3.5,18.2,0.0,4.0,10.8,35.0,44.0,31.0,1.0,1.0,11.9,17.8,0,0
6292,6.6,21.1,0.0,4.8,11.0,22.0,47.0,28.0,0.0,2.0,15.2,20.4,0,0
6293,7.4,22.9,0.0,3.8,11.2,39.0,40.0,21.0,0.0,0.0,15.8,22.0,0,0
6296,6.1,19.0,8.0,6.0,11.4,30.0,57.0,31.0,0.0,0.0,13.0,18.2,1,0
6297,6.7,21.7,0.0,3.8,10.6,39.0,45.0,26.0,0.0,2.0,14.5,20.4,0,0
6298,13.3,21.0,0.0,7.2,8.3,54.0,40.0,26.0,3.0,4.0,16.3,19.1,0,0
6299,7.9,18.5,0.0,6.2,10.7,41.0,71.0,36.0,3.0,3.0,12.5,16.9,0,0
6300,4.9,18.6,0.0,4.8,11.3,35.0,56.0,29.0,1.0,1.0,12.1,18.1,0,0
6302,6.5,26.0,0.0,4.6,11.3,37.0,30.0,15.0,0.0,0.0,17.1,25.6,0,0
6303,12.0,30.1,0.0,7.6,11.2,44.0,18.0,6.0,0.0,0.0,21.8,29.1,0,0
6304,14.5,32.7,0.0,10.8,11.0,46.0,17.0,7.0,0.0,0.0,22.9,32.2,0,0
6305,13.8,24.6,0.0,10.0,10.9,33.0,34.0,21.0,0.0,0.0,16.6,23.8,0,0
6306,8.1,24.2,0.0,6.4,10.6,24.0,17.0,14.0,5.0,3.0,17.8,24.1,0,0
6307,7.1,28.2,0.0,5.2,11.5,26.0,20.0,6.0,0.0,0.0,18.5,27.8,0,0
6308,15.7,31.3,0.0,6.2,3.5,50.0,21.0,25.0,5.0,8.0,24.7,25.9,0,1
6309,10.9,22.9,7.0,5.2,9.9,24.0,77.0,35.0,3.0,1.0,14.7,22.4,1,0
6310,9.6,26.6,0.0,4.0,10.9,31.0,46.0,27.0,1.0,3.0,19.8,26.0,0,0
6311,14.4,29.2,0.0,6.0,9.2,59.0,35.0,34.0,6.0,7.0,22.4,26.5,0,0
6312,14.8,21.5,0.6,6.8,0.6,44.0,51.0,94.0,7.0,8.0,18.4,17.3,0,0
6313,15.1,29.6,1.0,2.2,3.1,83.0,65.0,43.0,7.0,7.0,20.0,26.9,0,0
6314,9.6,18.7,0.4,9.2,1.9,74.0,78.0,45.0,7.0,6.0,11.4,17.7,0,0
6315,7.1,21.7,0.0,4.2,11.2,33.0,52.0,26.0,0.0,1.0,14.8,21.1,0,0
6316,8.8,27.5,0.0,6.2,10.5,65.0,29.0,12.0,0.0,2.0,19.8,26.8,0,0
